Module1.name,Module2.name,Module1.size,Module2.size,Module1.proportion.overlap,Module2.proportion.overlap,intersection.size,union.size,genome.size,p.value,odds.ratio,Jaccard.index,FDR,Bonferroni
green,7,534,78,0.013,0.09,7,605,15712,0.0166566944747499,2.82590328627695,0.0115702479338843,0.373776224013387,1
midnightblue,1,165,20,0.012,0.1,2,183,15712,0.0183979737072942,10.5791392580512,0.0109289617486339,0.404755421560472,1
yellow4,14,38,88,0.053,0.023,2,124,15712,0.0191326617737732,10.0635508299927,0.0161290322580645,0.412823971349491,1
royalblue,7,117,78,0.026,0.038,3,192,15712,0.0204347246060191,5.44481825560094,0.015625,0.432599264301008,1
green,10,534,64,0.011,0.094,6,592,15712,0.0212792088546231,2.96201107840711,0.0101351351351351,0.442134672868281,1
mediumpurple3,12,63,58,0.032,0.034,2,119,15712,0.0226474978309858,9.1260627270775,0.0168067226890756,0.46200895575211,1
ivory,10,58,64,0.034,0.031,2,120,15712,0.0233233746568815,8.97776190101054,0.0166666666666667,0.467300470803948,1
darkmagenta,4,148,66,0.02,0.045,3,211,15712,0.0243379666064745,5.08989181988446,0.014218009478673,0.469716236110471,1
ivory,4,58,66,0.034,0.03,2,122,15712,0.0246998733783581,8.69581138802129,0.0163934426229508,0.469716236110471,1
sienna3,3,72,53,0.028,0.038,2,123,15712,0.0245503023439092,8.72934162920521,0.016260162601626,0.469716236110471,1
mediumpurple3,4,63,66,0.032,0.03,2,127,15712,0.0287952934488223,7.98076094867462,0.015748031496063,0.538471987492977,1
blue,3,1107,53,0.007,0.151,8,1152,15712,0.0310198768030425,2.35508764712763,0.00694444444444444,0.570562324147766,1
plum1,10,69,64,0.029,0.031,2,131,15712,0.0321723944092878,7.49896469875176,0.0152671755725191,0.582216556890659,1
ivory,7,58,78,0.034,0.026,2,134,15712,0.0336236669293777,7.3182147100878,0.0149253731343284,0.598821496742251,1
lightcyan1,7,59,78,0.034,0.026,2,135,15712,0.0346935014659156,7.18969132277938,0.0148148148148148,0.600386761625636,1
sienna3,10,72,64,0.028,0.031,2,134,15712,0.0347817642652998,7.17689533240888,0.0149253731343284,0.600386761625636,1
pink,1,236,20,0.008,0.1,2,254,15712,0.0357353499995238,7.33861032144011,0.0078740157480315,0.607500949991904,1
darkmagenta,15,148,32,0.014,0.062,2,178,15712,0.0363518545462728,7.09207557648422,0.0112359550561798,0.607843945041622,1
skyblue,12,82,58,0.024,0.034,2,138,15712,0.0368390269722195,6.94870592724004,0.0144927536231884,0.607843945041622,1
darkmagenta,13,148,80,0.02,0.038,3,225,15712,0.0397671897203415,4.1600932601492,0.0133333333333333,0.644942376662023,1
orangered4,7,64,78,0.031,0.026,2,140,15712,0.0402370466723187,6.60720505333867,0.0142857142857143,0.644942376662023,1
darkolivegreen,5,218,24,0.009,0.083,2,240,15712,0.0432964218423489,6.50959015207835,0.00833333333333333,0.684205426860781,1
firebrick4,5,30,24,0.033,0.042,1,53,15712,0.0448647154855908,23.4504208749022,0.0188679245283019,0.699141816317123,1
brown4,16,55,100,0.036,0.02,2,153,15712,0.0478863454420574,5.98922189656256,0.0130718954248366,0.736006569671075,1
green,11,534,25,0.006,0.12,3,556,15712,0.0515848442084874,3.89169219672236,0.00539568345323741,0.759930336533387,1
white,10,90,64,0.022,0.031,2,152,15712,0.052031994853545,5.70209408317961,0.0131578947368421,0.759930336533387,1
purple,12,225,58,0.013,0.052,3,280,15712,0.0503215235622022,3.79111642570293,0.0107142857142857,0.759930336533387,1
skyblue1,5,35,24,0.029,0.042,1,58,15712,0.0521520819189579,19.9934341937332,0.0172413793103448,0.759930336533387,1
green,13,534,80,0.011,0.075,6,608,15712,0.0545820842608874,2.31917911357604,0.00986842105263158,0.782614304234886,1
purple,16,225,100,0.018,0.04,4,321,15712,0.0554957183619114,2.9013887771933,0.0124610591900312,0.782614304234886,1
yellow4,5,38,24,0.026,0.042,1,61,15712,0.0564988936212351,18.3742038934297,0.0163934426229508,0.782614304234886,1
yellow4,9,38,24,0.026,0.042,1,61,15712,0.0564988936212351,18.3742038934297,0.0163934426229508,0.782614304234886,1
darkmagenta,17,148,44,0.014,0.045,2,190,15712,0.0644782259562473,5.06202750365236,0.0105263157894737,0.86339762428099,1
navajowhite2,5,44,24,0.023,0.042,1,67,15712,0.0651352750464346,15.8050256726902,0.0149253731343284,0.86339762428099,1
midnightblue,14,165,88,0.018,0.034,3,250,15712,0.065408910930378,3.36811894280473,0.012,0.86339762428099,1
lavenderblush3,11,41,25,0.024,0.04,1,65,15712,0.0632810923641779,16.2782890915689,0.0153846153846154,0.86339762428099,1
skyblue1,15,35,32,0.029,0.031,1,66,15712,0.068941512596483,14.8327391661165,0.0151515151515152,0.89944624573551,1
thistle2,9,49,24,0.02,0.042,1,72,15712,0.072274338463312,14.1580237906551,0.0138888888888889,0.932089744319955,1
plum1,2,69,104,0.029,0.019,2,171,15712,0.0765003637244409,4.54666142482554,0.0116959064327485,0.970201164441796,1
white,13,90,80,0.022,0.025,2,168,15712,0.076958915896007,4.52765063188277,0.0119047619047619,0.970201164441796,1
coral1,15,40,32,0.025,0.031,1,71,15712,0.078406416421678,12.9244442976613,0.0140845070422535,0.977466658056919,1
turquoise,4,2317,66,0.002,0.076,5,2378,15712,0.974601745874314,0.472748639303638,0.00210260723296888,1,1
turquoise,17,2317,44,0.003,0.136,6,2355,15712,0.647057474551664,0.912575233999337,0.00254777070063694,1,1
turquoise,13,2317,80,0.004,0.112,9,2388,15712,0.852689734027687,0.731797866931287,0.00376884422110553,1,1
turquoise,2,2317,104,0.002,0.048,5,2416,15712,0.999684634654634,0.290461919166889,0.00206953642384106,1,1
turquoise,3,2317,53,0.002,0.094,5,2365,15712,0.907911046774535,0.601363880998892,0.00211416490486258,1,1
turquoise,8,2317,82,0.007,0.195,16,2383,15712,0.144149304448746,1.4042535285225,0.00671422576584138,1,1
turquoise,14,2317,88,0.003,0.08,7,2398,15712,0.981568630133044,0.498111112060705,0.00291909924937448,1,1
turquoise,6,2317,58,0.003,0.138,8,2367,15712,0.63767727115475,0.924717085345494,0.00337980566117448,1,1
turquoise,7,2317,78,0.003,0.09,7,2388,15712,0.953411369533307,0.568690966056094,0.00293132328308208,1,1
turquoise,5,2317,24,0,0,0,2341,15712,1,0,0,1,1
turquoise,16,2317,100,0.005,0.12,12,2405,15712,0.819703964201331,0.787252637052711,0.00498960498960499,1,1
turquoise,11,2317,25,0.001,0.08,2,2340,15712,0.901543025999044,0.502300749484136,0.000854700854700855,1,1
turquoise,15,2317,32,0.001,0.094,3,2346,15712,0.870636871779313,0.597549930417647,0.00127877237851662,1,1
turquoise,10,2317,64,0.004,0.141,9,2372,15712,0.61530250713451,0.945795440348395,0.00379426644182125,1,1
turquoise,1,2317,20,0.001,0.1,2,2335,15712,0.816734736592092,0.64206122892939,0.000856531049250535,1,1
turquoise,12,2317,58,0.003,0.121,7,2368,15712,0.77122845028812,0.792881055634979,0.00295608108108108,1,1
turquoise,9,2317,24,0.002,0.208,5,2336,15712,0.274166584885888,1.52243954966762,0.00214041095890411,1,1
bisque4,4,145,66,0,0,0,211,15712,1,0,0,1,1
bisque4,17,145,44,0,0,0,189,15712,1,0,0,1,1
bisque4,13,145,80,0,0,0,225,15712,1,0,0,1,1
bisque4,2,145,104,0,0,0,249,15712,1,0,0,1,1
bisque4,3,145,53,0,0,0,198,15712,1,0,0,1,1
bisque4,8,145,82,0,0,0,227,15712,1,0,0,1,1
bisque4,14,145,88,0.007,0.011,1,232,15712,0.558760102488374,1.23561125243309,0.00431034482758621,1,1
bisque4,6,145,58,0,0,0,203,15712,1,0,0,1,1
bisque4,7,145,78,0,0,0,223,15712,1,0,0,1,1
bisque4,5,145,24,0,0,0,169,15712,1,0,0,1,1
bisque4,16,145,100,0.007,0.01,1,244,15712,0.605483092057751,1.08500446794624,0.00409836065573771,1,1
bisque4,11,145,25,0,0,0,170,15712,1,0,0,1,1
bisque4,15,145,32,0,0,0,177,15712,1,0,0,1,1
bisque4,10,145,64,0.007,0.016,1,208,15712,0.44820131370827,1.70891253782623,0.00480769230769231,1,1
bisque4,1,145,20,0,0,0,165,15712,1,0,0,1,1
bisque4,12,145,58,0.007,0.017,1,202,15712,0.41650954654689,1.88953411804476,0.00495049504950495,1,1
bisque4,9,145,24,0,0,0,169,15712,1,0,0,1,1
brown,4,898,66,0.002,0.03,2,962,15712,0.897656105340084,0.514440917199446,0.00207900207900208,1,1
brown,17,898,44,0.004,0.091,4,938,15712,0.24223886690857,1.65249559863718,0.00426439232409382,1,1
brown,13,898,80,0.004,0.05,4,974,15712,0.67803135084024,0.867660115557778,0.00410677618069815,1,1
brown,2,898,104,0,0,0,1002,15712,1,0,0,1,1
brown,3,898,53,0.003,0.057,3,948,15712,0.590413610669086,0.989765986908641,0.00316455696202532,1,1
brown,8,898,82,0.004,0.049,4,976,15712,0.69674351050513,0.845297927624719,0.00409836065573771,1,1
brown,14,898,88,0.004,0.045,4,982,15712,0.748141484209842,0.784599967219567,0.00407331975560081,1,1
brown,6,898,58,0.001,0.017,1,955,15712,0.967281469476028,0.288636549232534,0.00104712041884817,1,1
brown,7,898,78,0.001,0.013,1,975,15712,0.989969119255879,0.213377572374031,0.00102564102564103,1,1
brown,5,898,24,0,0,0,922,15712,1,0,0,1,1
brown,16,898,100,0.006,0.05,5,993,15712,0.683242916189312,0.867511789429276,0.00503524672708963,1,1
brown,11,898,25,0.003,0.12,3,920,15712,0.16912648140282,2.25370133452428,0.00326086956521739,1,1
brown,15,898,32,0.001,0.031,1,929,15712,0.848198655548848,0.531631577192459,0.00107642626480086,1,1
brown,10,898,64,0,0,0,962,15712,1,0,0,1,1
brown,1,898,20,0,0,0,918,15712,1,0,0,1,1
brown,12,898,58,0,0,0,956,15712,1,0,0,1,1
brown,9,898,24,0,0,0,922,15712,1,0,0,1,1
skyblue3,4,70,66,0.014,0.015,1,135,15712,0.255700954397446,3.47247541020086,0.00740740740740741,1,1
skyblue3,17,70,44,0,0,0,114,15712,1,0,0,1,1
skyblue3,13,70,80,0.014,0.012,1,149,15712,0.301007235587839,2.85468208039034,0.00671140939597315,1,1
skyblue3,2,70,104,0,0,0,174,15712,1,0,0,1,1
skyblue3,3,70,53,0,0,0,123,15712,1,0,0,1,1
skyblue3,8,70,82,0,0,0,152,15712,1,0,0,1,1
skyblue3,14,70,88,0,0,0,158,15712,1,0,0,1,1
skyblue3,6,70,58,0,0,0,128,15712,1,0,0,1,1
skyblue3,7,70,78,0.014,0.013,1,147,15712,0.294705371775286,2.92918629405208,0.00680272108843537,1,1
skyblue3,5,70,24,0,0,0,94,15712,1,0,0,1,1
skyblue3,11,70,25,0,0,0,95,15712,1,0,0,1,1
skyblue3,15,70,32,0.014,0.031,1,101,15712,0.133268621848594,7.29601981360638,0.0099009900990099,1,1
skyblue3,10,70,64,0,0,0,134,15712,1,0,0,1,1
skyblue3,1,70,20,0,0,0,90,15712,1,0,0,1,1
skyblue3,12,70,58,0,0,0,128,15712,1,0,0,1,1
red,17,517,44,0,0,0,561,15712,1,0,0,1,1
red,13,517,80,0.01,0.062,5,592,15712,0.123358705493125,1.96863780708652,0.00844594594594595,1,1
red,2,517,104,0,0,0,621,15712,1,0,0,1,1
red,3,517,53,0.008,0.075,4,566,15712,0.0962596805129626,2.40992021161846,0.00706713780918728,1,1
red,8,517,82,0.006,0.037,3,596,15712,0.50923027346133,1.11677174120915,0.00503355704697987,1,1
red,14,517,88,0.006,0.034,3,602,15712,0.557068669998044,1.03754873134361,0.00498338870431894,1,1
red,6,517,58,0.002,0.017,1,574,15712,0.856894240306253,0.514701159784227,0.00174216027874564,1,1
red,7,517,78,0.01,0.064,5,590,15712,0.114027783969202,2.0228292905112,0.00847457627118644,1,1
red,11,517,25,0.002,0.04,1,541,15712,0.567039365713615,1.22502905119194,0.00184842883548983,1,1
red,15,517,32,0.004,0.062,2,547,15712,0.284015772683677,1.96299667610675,0.0036563071297989,1,1
red,10,517,64,0.006,0.047,3,578,15712,0.352462142221949,1.44797974556546,0.00519031141868512,1,1
red,1,517,20,0.004,0.1,2,535,15712,0.139281542529759,3.2739575170889,0.00373831775700935,1,1
red,12,517,58,0.004,0.034,2,573,15712,0.573424210568071,1.04988136933207,0.00349040139616056,1,1
red,9,517,24,0.002,0.042,1,540,15712,0.55228485724838,1.27837111390826,0.00185185185185185,1,1
blue,4,1107,66,0.004,0.061,4,1169,15712,0.692599334205455,0.850643625409505,0.00342172797262618,1,1
blue,17,1107,44,0,0,0,1151,15712,1,0,0,1,1
blue,13,1107,80,0.002,0.025,2,1185,15712,0.979769006022394,0.337107422809299,0.00168776371308017,1,1
blue,2,1107,104,0.002,0.019,2,1209,15712,0.995633892180387,0.257363614978439,0.00165425971877585,1,1
blue,8,1107,82,0.005,0.073,6,1183,15712,0.522978043805505,1.04181429604937,0.00507185122569738,1,1
blue,14,1107,88,0.003,0.034,3,1192,15712,0.95257174575053,0.464210833730025,0.00251677852348993,1,1
blue,6,1107,58,0,0,0,1165,15712,1,0,0,1,1
blue,7,1107,78,0.004,0.051,4,1181,15712,0.808755393089881,0.712107420343572,0.00338696020321761,1,1
blue,5,1107,24,0.002,0.083,2,1129,15712,0.511959248123882,1.19973693631144,0.00177147918511957,1,1
blue,16,1107,100,0.005,0.06,6,1201,15712,0.715320407722534,0.841267149892856,0.00499583680266445,1,1
blue,11,1107,25,0.002,0.08,2,1130,15712,0.534173549363808,1.14749985787581,0.00176991150442478,1,1
blue,15,1107,32,0.001,0.031,1,1138,15712,0.90370531687795,0.425087661210759,0.000878734622144112,1,1
blue,10,1107,64,0.001,0.016,1,1170,15712,0.990773217095244,0.208714055287234,0.000854700854700855,1,1
blue,1,1107,20,0,0,0,1127,15712,1,0,0,1,1
blue,12,1107,58,0.001,0.017,1,1164,15712,0.98567174433626,0.230778765695618,0.000859106529209622,1,1
blue,9,1107,24,0.002,0.083,2,1129,15712,0.511959248123882,1.19973693631144,0.00177147918511957,1,1
darkorange2,4,128,66,0,0,0,194,15712,1,0,0,1,1
darkorange2,17,128,44,0,0,0,172,15712,1,0,0,1,1
darkorange2,13,128,80,0.016,0.025,2,206,15712,0.138413673831647,3.15500398126009,0.00970873786407767,1,1
darkorange2,2,128,104,0,0,0,232,15712,1,0,0,1,1
darkorange2,3,128,53,0,0,0,181,15712,1,0,0,1,1
darkorange2,8,128,82,0,0,0,210,15712,1,0,0,1,1
darkorange2,14,128,88,0.016,0.023,2,214,15712,0.161004445837836,2.86008232579225,0.00934579439252336,1,1
darkorange2,6,128,58,0,0,0,186,15712,1,0,0,1,1
darkorange2,7,128,78,0,0,0,206,15712,1,0,0,1,1
darkorange2,5,128,24,0,0,0,152,15712,1,0,0,1,1
darkorange2,16,128,100,0.016,0.02,2,226,15712,0.195986583888172,2.50786229098827,0.00884955752212389,1,1
darkorange2,11,128,25,0,0,0,153,15712,1,0,0,1,1
darkorange2,15,128,32,0,0,0,160,15712,1,0,0,1,1
darkorange2,10,128,64,0,0,0,192,15712,1,0,0,1,1
darkorange2,1,128,20,0,0,0,148,15712,1,0,0,1,1
darkorange2,12,128,58,0,0,0,186,15712,1,0,0,1,1
darkorange2,9,128,24,0,0,0,152,15712,1,0,0,1,1
greenyellow,4,315,66,0,0,0,381,15712,1,0,0,1,1
greenyellow,17,315,44,0.006,0.045,2,357,15712,0.220461331058884,2.33586012522607,0.00560224089635854,1,1
greenyellow,13,315,80,0.006,0.025,2,393,15712,0.478776473344344,1.2549131533259,0.00508905852417303,1,1
greenyellow,2,315,104,0.003,0.01,1,418,15712,0.879151794734932,0.472899646528445,0.00239234449760766,1,1
greenyellow,3,315,53,0,0,0,368,15712,1,0,0,1,1
greenyellow,8,315,82,0.003,0.012,1,396,15712,0.810811019866684,0.60220066443046,0.00252525252525253,1,1
greenyellow,14,315,88,0.003,0.011,1,402,15712,0.832569181547923,0.560451332840144,0.00248756218905473,1,1
greenyellow,6,315,58,0,0,0,373,15712,1,0,0,1,1
greenyellow,7,315,78,0,0,0,393,15712,1,0,0,1,1
greenyellow,5,315,24,0,0,0,339,15712,1,0,0,1,1
greenyellow,16,315,100,0.003,0.01,1,414,15712,0.868884889216989,0.492134761145578,0.00241545893719807,1,1
greenyellow,11,315,25,0.003,0.04,1,339,15712,0.397515113509686,2.03980816843158,0.00294985250737463,1,1
greenyellow,15,315,32,0,0,0,347,15712,1,0,0,1,1
greenyellow,10,315,64,0.003,0.016,1,378,15712,0.727131269378163,0.775159911458097,0.00264550264550265,1,1
greenyellow,1,315,20,0,0,0,335,15712,1,0,0,1,1
greenyellow,12,315,58,0,0,0,373,15712,1,0,0,1,1
greenyellow,9,315,24,0,0,0,339,15712,1,0,0,1,1
darkolivegreen,4,218,66,0,0,0,284,15712,1,0,0,1,1
darkolivegreen,17,218,44,0.005,0.023,1,261,15712,0.459690030516815,1.65579814725269,0.00383141762452107,1,1
darkolivegreen,13,218,80,0,0,0,298,15712,1,0,0,1,1
darkolivegreen,2,218,104,0,0,0,322,15712,1,0,0,1,1
darkolivegreen,3,218,53,0,0,0,271,15712,1,0,0,1,1
darkolivegreen,8,218,82,0,0,0,300,15712,1,0,0,1,1
darkolivegreen,14,218,88,0.005,0.011,1,305,15712,0.708573648715398,0.816101409217033,0.00327868852459016,1,1
darkolivegreen,6,218,58,0,0,0,276,15712,1,0,0,1,1
darkolivegreen,7,218,78,0,0,0,296,15712,1,0,0,1,1
darkolivegreen,16,218,100,0.005,0.01,1,317,15712,0.753807507567408,0.716625867246864,0.00315457413249211,1,1
darkolivegreen,11,218,25,0,0,0,243,15712,1,0,0,1,1
darkolivegreen,15,218,32,0.005,0.031,1,249,15712,0.360804895529627,2.29844671238212,0.00401606425702811,1,1
darkolivegreen,10,218,64,0.009,0.031,2,280,15712,0.222735040273821,2.30445631050654,0.00714285714285714,1,1
darkolivegreen,1,218,20,0,0,0,238,15712,1,0,0,1,1
darkolivegreen,12,218,58,0,0,0,276,15712,1,0,0,1,1
darkolivegreen,9,218,24,0,0,0,242,15712,1,0,0,1,1
grey60,4,920,66,0,0,0,986,15712,1,0,0,1,1
grey60,13,920,80,0.007,0.075,6,994,15712,0.326930427950177,1.30560950671939,0.00603621730382294,1,1
grey60,2,920,104,0.002,0.019,2,1022,15712,0.986153829229345,0.313782545728302,0.00195694716242661,1,1
grey60,3,920,53,0,0,0,973,15712,1,0,0,1,1
grey60,8,920,82,0.007,0.073,6,996,15712,0.348002932877619,1.27108125689613,0.00602409638554217,1,1
grey60,14,920,88,0.001,0.011,1,1007,15712,0.995131541967192,0.18393063181571,0.00099304865938431,1,1
grey60,6,920,58,0.001,0.017,1,977,15712,0.96998862572106,0.281307014241603,0.00102354145342886,1,1
grey60,7,920,78,0.002,0.026,2,996,15712,0.947520041060812,0.421871391767164,0.00200803212851406,1,1
grey60,5,920,24,0,0,0,944,15712,1,0,0,1,1
grey60,16,920,100,0.004,0.04,4,1016,15712,0.844445762347627,0.668487704536086,0.00393700787401575,1,1
grey60,11,920,25,0,0,0,945,15712,1,0,0,1,1
grey60,15,920,32,0.001,0.031,1,951,15712,0.855256252917845,0.518131589670932,0.0010515247108307,1,1
grey60,10,920,64,0.002,0.031,2,982,15712,0.895722751328631,0.517605644641994,0.00203665987780041,1,1
grey60,1,920,20,0,0,0,940,15712,1,0,0,1,1
grey60,12,920,58,0,0,0,978,15712,1,0,0,1,1
grey60,9,920,24,0.002,0.083,2,942,15712,0.414280197477233,1.46260611444034,0.00212314225053079,1,1
orangered3,4,34,66,0,0,0,100,15712,1,0,0,1,1
orangered3,17,34,44,0,0,0,78,15712,1,0,0,1,1
orangered3,13,34,80,0.029,0.012,1,113,15712,0.159485692894543,5.9815517784583,0.00884955752212389,1,1
orangered3,2,34,104,0,0,0,138,15712,1,0,0,1,1
orangered3,3,34,53,0.029,0.019,1,86,15712,0.108637691679748,9.10291840597229,0.0116279069767442,1,1
orangered3,8,34,82,0,0,0,116,15712,1,0,0,1,1
orangered3,14,34,88,0,0,0,122,15712,1,0,0,1,1
orangered3,6,34,58,0.029,0.017,1,91,15712,0.118273950449775,8.30003915163412,0.010989010989011,1,1
orangered3,7,34,78,0,0,0,112,15712,1,0,0,1,1
orangered3,5,34,24,0,0,0,58,15712,1,0,0,1,1
orangered3,16,34,100,0,0,0,134,15712,1,0,0,1,1
orangered3,11,34,25,0,0,0,59,15712,1,0,0,1,1
orangered3,15,34,32,0,0,0,66,15712,1,0,0,1,1
orangered3,10,34,64,0,0,0,98,15712,1,0,0,1,1
orangered3,1,34,20,0,0,0,54,15712,1,0,0,1,1
orangered3,12,34,58,0.029,0.017,1,91,15712,0.118273950449775,8.30003915163412,0.010989010989011,1,1
orangered3,9,34,24,0,0,0,58,15712,1,0,0,1,1
plum1,4,69,66,0,0,0,135,15712,1,0,0,1,1
plum1,17,69,44,0.014,0.023,1,112,15712,0.176275957995541,5.33447367852621,0.00892857142857143,1,1
plum1,3,69,53,0,0,0,122,15712,1,0,0,1,1
plum1,8,69,82,0.014,0.012,1,150,15712,0.303603103496111,2.82496704661174,0.00666666666666667,1,1
