hgnc_symbol,gene_biotype
ACOT12,protein_coding
ACOT13,protein_coding
ACOT2,protein_coding
ACOT4,protein_coding
ACOT7,protein_coding
ACOT8,protein_coding
ACOT9,protein_coding
ACOX1,protein_coding
ACOX2,protein_coding
ACOX3,protein_coding
ACOXL,protein_coding
ACP1,protein_coding
ACP2,protein_coding
ACP5,protein_coding
ACP6,protein_coding
ACPL2,protein_coding
ACPP,protein_coding
ACRBP,protein_coding
ACRC,protein_coding
ACSBG1,protein_coding
ACSF2,protein_coding
ACSF3,protein_coding
ACSL1,protein_coding
ACSL3,protein_coding
ACSL4,protein_coding
ACSL5,protein_coding
ACSL6,protein_coding
ACSM1,protein_coding
ACSM2A,protein_coding
ACSM3,protein_coding
ACSM5,protein_coding
ACSS1,protein_coding
ACSS2,protein_coding
ACSS3,protein_coding
ACTA1,protein_coding
ACTA2,protein_coding
ACTA2-AS1,antisense
ACTB,protein_coding
ACTBP2,pseudogene
ACTBP7,pseudogene
ACTBP8,pseudogene
ACTG1,protein_coding
ACTG2,protein_coding
ACTL10,protein_coding
ACTL6A,protein_coding
ACTL9,protein_coding
ACTN1,protein_coding
ACTN1-AS1,antisense
ACTN3,polymorphic_pseudogene
ACTN4,protein_coding
ACTR10,protein_coding
ACTR1A,protein_coding
ACTR1B,protein_coding
ACTR2,protein_coding
ACTR3,protein_coding
ACTR3B,protein_coding
ACTR3C,protein_coding
ACTR5,protein_coding
ACTR6,protein_coding
ACTR8,protein_coding
ACVR1,protein_coding
ACVR1B,protein_coding
ACVR1C,protein_coding
ACVR2A,protein_coding
ACVR2B,protein_coding
ACVRL1,protein_coding
ACY1,protein_coding
ACY3,protein_coding
ACYP1,protein_coding
ACYP2,protein_coding
ADA,protein_coding
ADAD2,protein_coding
ADAL,protein_coding
ADAM10,protein_coding
ADAM11,protein_coding
ADAM12,protein_coding
ADAM15,protein_coding
ADAM17,protein_coding
ADAM18,protein_coding
ADAM19,protein_coding
ADAM1A,pseudogene
ADAM20,protein_coding
ADAM20P1,lincRNA
ADAM23,protein_coding
ADAM28,protein_coding
ADAM32,protein_coding
ADAM5,pseudogene
ADAM7,protein_coding
ADAM8,protein_coding
ADAM9,protein_coding
ADAMDEC1,protein_coding
ADAMTS1,protein_coding
ADAMTS10,protein_coding
ADAMTS13,protein_coding
ADAMTS16,protein_coding
ADAMTS17,protein_coding
ADAMTS2,protein_coding
ADAMTS3,protein_coding
ADAMTS5,protein_coding
ADAMTS6,protein_coding
ADAMTS7,protein_coding
ADAMTS9,protein_coding
ADAMTS9-AS2,antisense
ADAMTSL1,protein_coding
ADAMTSL2,protein_coding
ADAMTSL3,protein_coding
ADAMTSL4,protein_coding
ADAMTSL5,protein_coding
ADAP1,protein_coding
ADAP2,protein_coding
ADAR,protein_coding
ADARB1,protein_coding
ADARB2,protein_coding
ADAT1,protein_coding
ADAT2,protein_coding
ADAT3,protein_coding
ADC,protein_coding
ADCK1,protein_coding
ADCK2,protein_coding
ADCK3,protein_coding
ADCK4,protein_coding
ADCK5,protein_coding
ADCY1,protein_coding
ADCY10,protein_coding
ADCY10P1,pseudogene
ADCY2,protein_coding
ADCY3,protein_coding
ADCY4,protein_coding
ADCY5,protein_coding
ADCY6,protein_coding
ADCY7,protein_coding
ADCY8,protein_coding
ADCY9,protein_coding
ADD1,protein_coding
ADD2,protein_coding
ADD3,protein_coding
ADGB,protein_coding
ADH1B,protein_coding
ADH5,protein_coding
ADH5P4,pseudogene
ADH6,protein_coding
ADHFE1,protein_coding
ADI1,protein_coding
ADIPOR1,protein_coding
ADIPOR2,protein_coding
ADIRF,protein_coding
ADK,protein_coding
ADM,protein_coding
ADM2,protein_coding
ADM5,protein_coding
ADNP,protein_coding
ADNP2,protein_coding
ADO,protein_coding
ADORA1,protein_coding
ADORA2A,protein_coding
ADORA2A-AS1,antisense
ADORA2B,protein_coding
ADORA3,protein_coding
ADPGK,protein_coding
ADPGK-AS1,antisense
ADPRH,protein_coding
ADPRHL1,protein_coding
ADPRHL2,protein_coding
ADPRM,protein_coding
ADRA1A,protein_coding
ADRA1B,protein_coding
ADRA2A,protein_coding
ADRA2B,protein_coding
ADRB1,protein_coding
ADRB2,protein_coding
ADRBK1,protein_coding
ADRBK2,protein_coding
ADRM1,protein_coding
ADSL,protein_coding
ADSS,protein_coding
ADSSL1,protein_coding
ADTRP,protein_coding
AEBP1,protein_coding
AEBP2,protein_coding
AEN,protein_coding
AES,protein_coding
AFAP1,protein_coding
AFAP1L2,protein_coding
AFF1,protein_coding
AFF2,protein_coding
AFF3,protein_coding
AFF4,protein_coding
AFG3L1P,pseudogene
AFG3L2,protein_coding
AFMID,protein_coding
AFTPH,protein_coding
AGA,protein_coding
AGAP1,protein_coding
AGAP2,protein_coding
AGAP2-AS1,protein_coding
AGAP3,protein_coding
AGAP4,protein_coding
AGAP6,protein_coding
AGAP7,protein_coding
AGAP8,protein_coding
AGBL1,protein_coding
AGBL2,protein_coding
AGBL3,protein_coding
AGBL4,protein_coding
AGBL5,protein_coding
AGBL5-AS1,antisense
AGER,protein_coding
AGFG1,protein_coding
AGFG2,protein_coding
AGGF1,protein_coding
AGK,protein_coding
AGL,protein_coding
AGMAT,protein_coding
AGO1,protein_coding
AGO2,protein_coding
AGO3,protein_coding
AGO4,protein_coding
AGPAT1,protein_coding
AGPAT2,protein_coding
AGPAT3,protein_coding
AGPAT4,protein_coding
AGPAT5,protein_coding
AGPAT6,protein_coding
AGPAT9,protein_coding
AGPS,protein_coding
AGR2,protein_coding
AGRN,protein_coding
AGRP,protein_coding
AGTPBP1,protein_coding
AGTR1,protein_coding
AGTRAP,protein_coding
AHCTF1,protein_coding
AHCY,protein_coding
AHCYL1,protein_coding
AHCYL2,protein_coding
AHDC1,protein_coding
AHI1,protein_coding
AHNAK,protein_coding
AHNAK2,protein_coding
AHR,protein_coding
AHRR,protein_coding
AHSA1,protein_coding
AHSA2,protein_coding
AICDA,protein_coding
AIDA,protein_coding
AIF1,protein_coding
AIFM1,protein_coding
AIFM2,protein_coding
AIFM3,protein_coding
AIG1,protein_coding
AIM1,protein_coding
AIM2,protein_coding
AIMP1,protein_coding
AIMP1P1,pseudogene
AIMP2,protein_coding
AIP,protein_coding
AIPL1,protein_coding
AIRE,protein_coding
AIRN,antisense
AJAP1,protein_coding
AJUBA,protein_coding
AK1,protein_coding
AK2,protein_coding
AK3,protein_coding
AK3P5,pseudogene
AK4,protein_coding
AK5,protein_coding
AK7,protein_coding
AK8,protein_coding
AK9,protein_coding
AKAP1,protein_coding
AKAP10,protein_coding
AKAP11,protein_coding
AKAP12,protein_coding
AKAP13,protein_coding
AKAP14,protein_coding
AKAP7,protein_coding
AKAP8,protein_coding
AKAP8L,protein_coding
AKAP9,protein_coding
AKIP1,protein_coding
AKIRIN1,protein_coding
AKIRIN2,protein_coding
AKNA,protein_coding
AKNAD1,protein_coding
AKR1A1,protein_coding
AKR1B1,protein_coding
AKR1B15,protein_coding
AKR1C1,protein_coding
AKR1C3,protein_coding
AKR1C7P,pseudogene
AKR1CL1,pseudogene
AKR1CL1,protein_coding
AKR1D1,protein_coding
AKR1E2,protein_coding
AKR7A2,protein_coding
AKR7A2P1,pseudogene
AKR7A3,protein_coding
AKR7L,polymorphic_pseudogene
AKT1,protein_coding
AKT1S1,protein_coding
AKT2,protein_coding
AKT3,protein_coding
AKT3-IT1,sense_intronic
AKTIP,protein_coding
ALAD,protein_coding
ALAS1,protein_coding
ALB,protein_coding
ALCAM,protein_coding
ALDH16A1,protein_coding
ALDH18A1,protein_coding
ALDH1A1,protein_coding
ALDH1A2,protein_coding
ALDH1A3,protein_coding
ALDH1B1,protein_coding
ALDH1L1,protein_coding
ALDH1L2,protein_coding
ALDH2,protein_coding
ALDH3A2,protein_coding
ALDH3B1,protein_coding
ALDH4A1,protein_coding
ALDH5A1,protein_coding
ALDH6A1,protein_coding
ALDH7A1,protein_coding
ALDH8A1,protein_coding
ALDH9A1,protein_coding
ALDOA,protein_coding
ALDOAP1,pseudogene
ALDOAP2,pseudogene
ALDOC,protein_coding
ALG1,protein_coding
ALG10,protein_coding
ALG10B,protein_coding
ALG11,protein_coding
ALG12,protein_coding
ALG13,protein_coding
ALG13-AS1,antisense
ALG14,protein_coding
ALG1L13P,pseudogene
ALG1L15P,pseudogene
ALG1L2,pseudogene
ALG2,protein_coding
ALG3,protein_coding
ALG3P1,pseudogene
ALG5,protein_coding
ALG6,protein_coding
ALG8,protein_coding
ALG9,protein_coding
ALK,protein_coding
ALKBH1,protein_coding
ALKBH2,protein_coding
ALKBH3,protein_coding
ALKBH4,protein_coding
ALKBH5,protein_coding
ALKBH6,protein_coding
ALKBH7,protein_coding
ALKBH8,protein_coding
ALLC,protein_coding
ALMS1,protein_coding
ALMS1-IT1,sense_intronic
ALMS1P,pseudogene
ALOX12,protein_coding
ALOX12B,protein_coding
ALOX12P2,pseudogene
ALOX15B,protein_coding
ALOX5,protein_coding
ALOX5AP,protein_coding
ALPI,protein_coding
ALPK1,protein_coding
ALPK2,protein_coding
ALPK3,protein_coding
ALPL,protein_coding
ALS2,protein_coding
ALS2CL,protein_coding
ALS2CR11,protein_coding
ALS2CR12,protein_coding
ALYREF,protein_coding
AMACR,protein_coding
AMBP,protein_coding
AMBRA1,protein_coding
AMD1,protein_coding
AMD1P1,pseudogene
AMDHD1,protein_coding
AMDHD2,protein_coding
AMER1,protein_coding
AMER2,protein_coding
AMER3,protein_coding
AMFR,protein_coding
AMH,protein_coding
AMHR2,protein_coding
AMICA1,protein_coding
AMIGO1,protein_coding
AMIGO2,protein_coding
AMMECR1,protein_coding
AMMECR1L,protein_coding
AMN,protein_coding
AMN1,protein_coding
AMOT,protein_coding
AMOTL1,protein_coding
AMOTL2,protein_coding
AMPD2,protein_coding
AMPD3,protein_coding
AMPH,protein_coding
AMT,protein_coding
AMY2B,protein_coding
AMZ1,protein_coding
AMZ2,protein_coding
AMZ2P1,pseudogene
ANAPC1,protein_coding
ANAPC10,protein_coding
ANAPC11,protein_coding
ANAPC13,protein_coding
ANAPC15,protein_coding
ANAPC16,protein_coding
ANAPC2,protein_coding
ANAPC4,protein_coding
ANAPC5,protein_coding
ANAPC7,protein_coding
ANG,protein_coding
ANGEL1,protein_coding
ANGEL2,protein_coding
ANGPT1,protein_coding
ANGPT2,protein_coding
ANGPTL1,protein_coding
ANGPTL2,protein_coding
ANGPTL4,protein_coding
ANGPTL6,protein_coding
ANK1,protein_coding
ANK2,protein_coding
ANK3,protein_coding
ANKAR,protein_coding
ANKDD1A,protein_coding
ANKDD1B,protein_coding
ANKEF1,protein_coding
ANKFN1,protein_coding
ANKFY1,protein_coding
ANKH,protein_coding
ANKHD1,protein_coding
ANKHD1-EIF4EBP3,protein_coding
ANKIB1,protein_coding
ANKLE1,protein_coding
ANKLE2,protein_coding
ANKMY1,protein_coding
ANKMY2,protein_coding
ANKRA2,protein_coding
ANKRD10,protein_coding
ANKRD10-IT1,sense_intronic
ANKRD11,protein_coding
ANKRD12,protein_coding
ANKRD13A,protein_coding
ANKRD13B,protein_coding
ANKRD13C,protein_coding
ANKRD13D,protein_coding
ANKRD16,protein_coding
ANKRD17,protein_coding
ANKRD18A,protein_coding
ANKRD18DP,pseudogene
ANKRD18EP,pseudogene
ANKRD19P,pseudogene
ANKRD20A11P,pseudogene
ANKRD20A14P,pseudogene
ANKRD20A5P,pseudogene
ANKRD20A8P,pseudogene
ANKRD22,protein_coding
ANKRD23,protein_coding
ANKRD24,protein_coding
ANKRD26,protein_coding
ANKRD26P3,pseudogene
ANKRD27,protein_coding
ANKRD28,protein_coding
ANKRD29,protein_coding
ANKRD30B,protein_coding
ANKRD30BL,protein_coding
ANKRD30BP2,pseudogene
ANKRD31,protein_coding
ANKRD32,protein_coding
ANKRD33,protein_coding
ANKRD33B,protein_coding
ANKRD33B-AS1,antisense
ANKRD34A,protein_coding
ANKRD34B,protein_coding
ANKRD35,protein_coding
ANKRD36,protein_coding
ANKRD36B,pseudogene
ANKRD36BP1,pseudogene
ANKRD36BP2,pseudogene
ANKRD36C,protein_coding
ANKRD37,protein_coding
ANKRD39,protein_coding
ANKRD40,protein_coding
ANKRD42,protein_coding
ANKRD44,protein_coding
ANKRD44-IT1,sense_intronic
ANKRD45,protein_coding
ANKRD46,protein_coding
ANKRD49,protein_coding
ANKRD50,protein_coding
ANKRD52,protein_coding
ANKRD53,protein_coding
ANKRD54,protein_coding
ANKRD55,protein_coding
ANKRD6,protein_coding
ANKRD61,protein_coding
ANKRD62,protein_coding
ANKRD65,protein_coding
ANKRD9,protein_coding
ANKS1A,protein_coding
ANKS1B,protein_coding
ANKS3,protein_coding
ANKS6,protein_coding
ANKUB1,protein_coding
ANKZF1,protein_coding
ANLN,protein_coding
ANO1,protein_coding
ANO10,protein_coding
ANO2,protein_coding
ANO4,protein_coding
ANO5,protein_coding
ANO6,protein_coding
ANO7,protein_coding
ANO7P1,pseudogene
ANO8,protein_coding
ANO9,protein_coding
ANP32A,protein_coding
ANP32AP1,pseudogene
ANP32B,protein_coding
ANP32BP1,pseudogene
ANP32BP3,pseudogene
ANP32C,pseudogene
ANP32E,protein_coding
ANPEP,protein_coding
ANTXR1,protein_coding
ANTXR2,protein_coding
ANXA1,protein_coding
ANXA11,protein_coding
ANXA13,protein_coding
ANXA2,protein_coding
ANXA2P1,pseudogene
ANXA2P2,pseudogene
ANXA2P3,pseudogene
ANXA2R,protein_coding
ANXA3,protein_coding
ANXA4,protein_coding
ANXA5,protein_coding
ANXA6,protein_coding
ANXA7,protein_coding
ANXA9,protein_coding
AOAH,protein_coding
AOAH-IT1,sense_intronic
AOC2,protein_coding
AOC3,protein_coding
AOX2P,pseudogene
AP1AR,protein_coding
AP1B1,protein_coding
AP1G1,protein_coding
AP1G2,protein_coding
AP1M1,protein_coding
AP1S1,protein_coding
AP1S2,protein_coding
AP1S3,protein_coding
AP2A1,protein_coding
AP2A2,protein_coding
AP2B1,protein_coding
AP2M1,protein_coding
AP2S1,protein_coding
AP3B1,protein_coding
AP3B2,protein_coding
AP3D1,protein_coding
AP3M1,protein_coding
AP3M2,protein_coding
AP3S1,protein_coding
AP3S2,protein_coding
AP4B1,protein_coding
AP4B1-AS1,antisense
AP4E1,protein_coding
AP4M1,protein_coding
AP4S1,protein_coding
AP5B1,protein_coding
AP5M1,protein_coding
AP5S1,protein_coding
AP5Z1,protein_coding
APAF1,protein_coding
APBA1,protein_coding
APBA2,protein_coding
APBA3,protein_coding
APBB1,protein_coding
APBB1IP,protein_coding
APBB2,protein_coding
APBB3,protein_coding
APC,protein_coding
APC2,protein_coding
APCDD1,protein_coding
APCDD1L,protein_coding
APCDD1L-AS1,processed_transcript
APEH,protein_coding
APEX1,protein_coding
APEX2,protein_coding
APH1A,protein_coding
APH1B,protein_coding
API5,protein_coding
APIP,protein_coding
APITD1,protein_coding
APLF,protein_coding
APLP1,protein_coding
APLP2,protein_coding
APMAP,protein_coding
APOA1,protein_coding
APOA1BP,protein_coding
APOA2,protein_coding
APOB,protein_coding
APOBEC1,protein_coding
APOBEC2,protein_coding
APOBEC3A,protein_coding
APOBEC3B,protein_coding
APOBEC3B-AS1,antisense
APOBEC3C,protein_coding
APOBEC3D,protein_coding
APOBEC3F,protein_coding
APOBEC3G,protein_coding
APOBEC3H,protein_coding
APOBEC4,protein_coding
APOBR,protein_coding
APOC1,protein_coding
APOC1P1,pseudogene
APOE,protein_coding
APOL1,protein_coding
APOL2,protein_coding
APOL3,protein_coding
APOL4,protein_coding
APOL6,protein_coding
APOLD1,protein_coding
APOM,protein_coding
APOO,protein_coding
APOOL,protein_coding
APOOP4,pseudogene
APOPT1,protein_coding
APP,protein_coding
APPBP2,protein_coding
APPL1,protein_coding
APPL2,protein_coding
APRT,protein_coding
APTX,protein_coding
AQP1,protein_coding
AQP10,protein_coding
AQP11,protein_coding
AQP3,protein_coding
AQP4-AS1,antisense
AQP5,protein_coding
AQP6,protein_coding
AQP7P1,pseudogene
AQP8,protein_coding
AQP9,protein_coding
AQR,protein_coding
AR,protein_coding
ARAF,protein_coding
ARAP1,protein_coding
ARAP1-AS1,antisense
ARAP1-AS2,antisense
ARAP2,protein_coding
ARAP3,protein_coding
ARC,protein_coding
ARCN1,protein_coding
AREG,protein_coding
AREL1,protein_coding
ARF1,protein_coding
ARF3,protein_coding
ARF4,protein_coding
ARF5,protein_coding
ARF6,protein_coding
ARFGAP1,protein_coding
ARFGAP2,protein_coding
ARFGAP3,protein_coding
ARFGEF1,protein_coding
ARFGEF2,protein_coding
ARFIP1,protein_coding
ARFIP2,protein_coding
ARFRP1,protein_coding
ARG2,protein_coding
ARGFXP2,pseudogene
ARGLU1,protein_coding
ARHGAP1,protein_coding
ARHGAP10,protein_coding
ARHGAP11A,protein_coding
ARHGAP11B,protein_coding
ARHGAP12,protein_coding
ARHGAP15,protein_coding
ARHGAP17,protein_coding
ARHGAP18,protein_coding
ARHGAP19,protein_coding
ARHGAP20,protein_coding
ARHGAP21,protein_coding
ARHGAP22,protein_coding
ARHGAP23,protein_coding
ARHGAP24,protein_coding
ARHGAP25,protein_coding
ARHGAP26,protein_coding
ARHGAP26-AS1,antisense
ARHGAP26-IT1,sense_intronic
ARHGAP27,protein_coding
ARHGAP28,protein_coding
ARHGAP29,protein_coding
ARHGAP30,protein_coding
ARHGAP31,protein_coding
ARHGAP31-AS1,antisense
ARHGAP32,protein_coding
ARHGAP33,protein_coding
ARHGAP35,protein_coding
ARHGAP39,protein_coding
ARHGAP4,protein_coding
ARHGAP42,protein_coding
ARHGAP44,protein_coding
ARHGAP5,protein_coding
ARHGAP5-AS1,antisense
ARHGAP6,protein_coding
ARHGAP8,protein_coding
ARHGAP9,protein_coding
ARHGDIA,protein_coding
ARHGDIB,protein_coding
ARHGDIG,protein_coding
ARHGEF1,protein_coding
ARHGEF10,protein_coding
ARHGEF10L,protein_coding
ARHGEF11,protein_coding
ARHGEF12,protein_coding
ARHGEF15,protein_coding
ARHGEF16,protein_coding
ARHGEF17,protein_coding
ARHGEF18,protein_coding
ARHGEF19,protein_coding
ARHGEF2,protein_coding
ARHGEF25,protein_coding
ARHGEF26,protein_coding
ARHGEF28,protein_coding
ARHGEF3,protein_coding
ARHGEF33,protein_coding
ARHGEF37,protein_coding
ARHGEF38,protein_coding
ARHGEF39,protein_coding
ARHGEF4,protein_coding
ARHGEF40,protein_coding
ARHGEF6,protein_coding
ARHGEF7,protein_coding
ARHGEF9,protein_coding
ARHGEF9-IT1,sense_intronic
ARID1A,protein_coding
ARID1B,protein_coding
ARID2,protein_coding
ARID3A,protein_coding
ARID3B,protein_coding
ARID3C,protein_coding
ARID4A,protein_coding
ARID4B,protein_coding
ARID4B-IT1,sense_intronic
ARID5A,protein_coding
ARID5B,protein_coding
ARIH1,protein_coding
ARIH2,protein_coding
ARIH2OS,protein_coding
ARL1,protein_coding
ARL10,protein_coding
ARL11,protein_coding
ARL13A,protein_coding
ARL13B,protein_coding
ARL14EP,protein_coding
ARL14EPL,protein_coding
ARL15,protein_coding
ARL16,protein_coding
ARL17A,protein_coding
ARL17B,protein_coding
ARL2,protein_coding
ARL2BP,protein_coding
ARL3,protein_coding
ARL4A,protein_coding
ARL4C,protein_coding
ARL4D,protein_coding
ARL4P,pseudogene
ARL5A,protein_coding
ARL5B,protein_coding
ARL5B-AS1,lincRNA
ARL5C,protein_coding
ARL6,protein_coding
ARL6IP1,protein_coding
ARL6IP1P2,pseudogene
ARL6IP1P3,pseudogene
ARL6IP4,protein_coding
ARL6IP5,protein_coding
ARL6IP6,protein_coding
ARL8A,protein_coding
ARL8B,protein_coding
ARL9,protein_coding
ARMC1,protein_coding
ARMC10,protein_coding
ARMC12,protein_coding
ARMC2,protein_coding
ARMC3,protein_coding
ARMC5,protein_coding
ARMC6,protein_coding
ARMC7,protein_coding
ARMC8,protein_coding
ARMC9,protein_coding
ARMCX1,protein_coding
ARMCX2,protein_coding
ARMCX3,protein_coding
ARMCX3-AS1,antisense
ARMCX4,protein_coding
ARMCX5,protein_coding
ARMCX6,protein_coding
ARNT,protein_coding
ARNTL,protein_coding
ARNTL2,protein_coding
ARPC1A,protein_coding
ARPC1B,protein_coding
ARPC2,protein_coding
ARPC3,protein_coding
ARPC3P1,pseudogene
ARPC3P2,pseudogene
ARPC3P5,pseudogene
ARPC4,protein_coding
ARPC5,protein_coding
ARPC5L,protein_coding
ARPP19,protein_coding
ARPP21,protein_coding
ARRB1,protein_coding
ARRB2,protein_coding
ARRDC1,protein_coding
ARRDC2,protein_coding
ARRDC3,protein_coding
ARRDC4,protein_coding
ARRDC5,protein_coding
ARSA,protein_coding
ARSB,protein_coding
ARSD,protein_coding
ARSD-AS1,antisense
ARSE,protein_coding
ARSG,protein_coding
ARSI,protein_coding
ARSJ,protein_coding
ARSK,protein_coding
ART4,protein_coding
ARV1,protein_coding
ARVCF,protein_coding
ASAH1,protein_coding
ASAP1,protein_coding
ASAP2,protein_coding
ASAP3,protein_coding
ASB1,protein_coding
ASB11,protein_coding
ASB13,protein_coding
ASB14,protein_coding
ASB15,protein_coding
ASB16,protein_coding
ASB16-AS1,antisense
ASB2,protein_coding
ASB5,protein_coding
ASB6,protein_coding
ASB7,protein_coding
ASB8,protein_coding
ASB9,protein_coding
ASCC1,protein_coding
ASCC2,protein_coding
ASCC3,protein_coding
ASCL1,protein_coding
ASCL2,protein_coding
ASCL4,protein_coding
ASF1A,protein_coding
ASF1B,protein_coding
ASGR1,protein_coding
ASGR2,protein_coding
ASH1L,protein_coding
ASH1L-AS1,processed_transcript
ASH2L,protein_coding
ASIC1,protein_coding
ASIC3,protein_coding
ASIP,protein_coding
ASL,protein_coding
ASLP1,pseudogene
ASNA1,protein_coding
ASNS,protein_coding
ASNSD1,protein_coding
ASPA,protein_coding
ASPH,protein_coding
ASPHD1,protein_coding
ASPHD2,protein_coding
ASPM,protein_coding
ASPN,protein_coding
ASPRV1,protein_coding
ASPSCR1,protein_coding
ASRGL1,protein_coding
ASS1P2,pseudogene
ASTE1,protein_coding
ASTL,protein_coding
ASTN1,protein_coding
ASUN,protein_coding
ASXL1,protein_coding
ASXL2,protein_coding
ASXL3,protein_coding
ATAD1,protein_coding
ATAD2,protein_coding
ATAD2B,protein_coding
ATAD3A,protein_coding
ATAD3B,protein_coding
ATAD3C,protein_coding
ATAD5,protein_coding
ATAT1,protein_coding
ATCAY,protein_coding
ATE1,protein_coding
ATF1,protein_coding
ATF2,protein_coding
ATF3,protein_coding
ATF4,protein_coding
ATF4P3,pseudogene
ATF4P4,pseudogene
ATF5,protein_coding
ATF6,protein_coding
ATF6B,protein_coding
ATF7,protein_coding
ATF7IP,protein_coding
ATF7IP2,protein_coding
ATG10,protein_coding
ATG12,protein_coding
ATG13,protein_coding
ATG14,protein_coding
ATG16L1,protein_coding
ATG16L2,protein_coding
ATG2A,protein_coding
ATG2B,protein_coding
ATG3,protein_coding
ATG4A,protein_coding
ATG4B,protein_coding
ATG4C,protein_coding
ATG4D,protein_coding
ATG5,protein_coding
ATG7,protein_coding
ATG9A,protein_coding
ATG9B,protein_coding
ATHL1,protein_coding
ATIC,protein_coding
ATL1,protein_coding
ATL2,protein_coding
ATL3,protein_coding
ATM,protein_coding
ATMIN,protein_coding
ATN1,protein_coding
ATOH8,protein_coding
ATOX1,protein_coding
ATP10A,protein_coding
ATP10B,protein_coding
ATP10D,protein_coding
ATP11A,protein_coding
ATP11A-AS1,antisense
ATP11B,protein_coding
ATP11C,protein_coding
ATP13A1,protein_coding
ATP13A2,protein_coding
ATP13A3,protein_coding
ATP13A5,protein_coding
ATP1A1,protein_coding
ATP1A1OS,processed_transcript
ATP1A2,protein_coding
ATP1A3,protein_coding
ATP1A4,protein_coding
ATP1B1,protein_coding
ATP1B2,protein_coding
ATP1B3,protein_coding
ATP1B3-AS1,antisense
ATP2A1,protein_coding
ATP2A2,protein_coding
ATP2A3,protein_coding
ATP2B1,protein_coding
ATP2B2,protein_coding
ATP2B3,protein_coding
ATP2B4,protein_coding
ATP2C1,protein_coding
ATP2C2,protein_coding
ATP4A,protein_coding
ATP5A1,protein_coding
ATP5A1P2,pseudogene
ATP5A1P3,pseudogene
ATP5A1P5,pseudogene
