,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CD52,1.58833360440584e-169,0.483733309772124,0.96,0.834,3.95717434201672e-165
CD14,1.35581427169618e-162,-1.07177449200979,0.197,0.502,3.37787567650387e-158
FAM26F,5.22519665607128e-150,0.598543237871159,0.468,0.198,1.3018054948936e-145
MNDA,1.67262492753235e-146,-0.838719201225658,0.448,0.657,4.16717774445409e-142
BID,1.61118248243193e-133,0.579979499873005,0.492,0.229,4.01410003673092e-129
TIMP1,1.0780784014418e-129,0.590899763718284,0.678,0.412,2.68592452935211e-125
JUN,1.3458474208593e-129,-0.854517488010999,0.411,0.62,3.35304426432887e-125
PLAC8,2.28807680321897e-129,0.600117421798278,0.479,0.225,5.70051454753974e-125
LRRC25,1.01325139184576e-124,0.547703473183099,0.329,0.122,2.52441451764454e-120
CSTA,1.85706656694069e-116,-0.588655418032986,0.606,0.728,4.62669564487603e-112
TPT1,1.61540741071946e-113,-0.382356437460697,0.888,0.902,4.02462602306647e-109
BCL2A1,3.62675254059641e-113,0.534456041129591,0.343,0.136,9.03569127964191e-109
RNASET2,2.33208897230061e-112,0.483290027984968,0.661,0.403,5.81016646558975e-108
NACA,2.74538479380107e-110,0.385745612557974,0.914,0.77,6.83985167527599e-106
APOBEC3A,1.32116779693158e-105,0.593192083353117,0.281,0.106,3.29155744927534e-101
CSF3R,1.66329022310473e-105,-0.923573332417983,0.184,0.416,4.14392126184313e-101
SOD1,1.53896132617183e-104,0.524852881581305,0.372,0.163,3.8341682480245e-100
GAPDH,6.39407169219755e-103,-0.474711818946333,0.763,0.807,1.5930190213941e-98
CTSC,5.79526395097656e-99,0.514732936789931,0.333,0.142,1.4438320607463e-94
TMSB4XP8,2.50901827608975e-97,0.265073907819073,0.975,0.928,6.25096813305e-93
VIM,1.03240367448542e-94,-0.534827110737126,0.684,0.75,2.57213051461298e-90
PTP4A2,7.34973563037439e-94,0.45096379856939,0.571,0.325,1.83111313495147e-89
FCN1,1.21135803729323e-93,-0.348873935996977,0.87,0.905,3.01797741411236e-89
MYL6,1.42723908232519e-93,0.271392775090927,0.967,0.887,3.55582344970498e-89
NAAA,2.14324132525558e-93,0.522559217709312,0.385,0.182,5.33967143774176e-89
VAMP5,1.83832272863871e-90,0.460761019503357,0.477,0.251,4.57999724613049e-86
RNU2-59P,9.55510899277101e-89,-0.898597115892511,0.205,0.414,2.38055985445897e-84
ARPC2,1.99020367502305e-86,0.357221235868697,0.822,0.625,4.95839343595243e-82
S100A11,5.31992518878766e-86,0.267056264063971,0.958,0.875,1.32540616153456e-81
CD97,1.62381441085948e-81,0.441289387880405,0.381,0.185,4.04557122321531e-77
RNVU1-13,6.28381410799444e-81,-0.79502680492538,0.25,0.451,1.56554944686573e-76
SERPINA1,1.29652864880603e-80,0.353082663060287,0.811,0.616,3.23017147563535e-76
ARHGDIB,7.47246364323874e-79,0.383010297510809,0.76,0.558,1.8616895920765e-74
SPI1,2.37481057351954e-78,0.37988615617413,0.675,0.45,5.91660306286657e-74
CSTB,3.22767480384773e-78,0.400708742101043,0.684,0.455,8.04142900630624e-74
LYN,6.8122816279933e-78,0.401590747884038,0.352,0.167,1.69721184479825e-73
ANXA1,2.03274756256709e-76,-0.552003953523803,0.548,0.671,5.06438727737965e-72
RNVU1-14,2.1744658281649e-76,-0.92619882273471,0.148,0.342,5.41746416429004e-72
BIN2,2.35898558405898e-74,0.394284460994031,0.266,0.112,5.87717668412454e-70
CFL1,2.43333599574462e-74,0.294484880283646,0.891,0.748,6.06241329979814e-70
CD68,2.50525459452897e-74,0.372573043364854,0.613,0.388,6.24159129680947e-70
CFD,9.53465044552459e-73,0.392048843519276,0.716,0.511,2.375462811998e-68
PILRA,1.51341004812369e-72,0.402689153446688,0.439,0.241,3.77050979389536e-68
HCK,1.96751332391896e-72,0.379617500113714,0.429,0.228,4.90186269521169e-68
CD47,2.41295810305833e-72,0.433905066508343,0.304,0.14,6.01164381795953e-68
KLF3,2.48555422466152e-72,0.424789226151207,0.256,0.109,6.19250979532172e-68
CALM2,3.30550996628234e-72,0.306665590916434,0.859,0.693,8.23534752999581e-68
FOSB,6.17694738625489e-72,-0.612324095256624,0.458,0.591,1.53892467181154e-67
VASP,1.41718960304197e-71,0.375087210508587,0.326,0.154,3.53078617701875e-67
PSME2,2.36065525389412e-70,0.368263212431568,0.657,0.443,5.88133649955182e-66
IER2,2.93420295866789e-68,-0.640834672333549,0.463,0.587,7.31027325122518e-64
FTLP3,1.8591048559211e-67,0.319463552692558,0.801,0.614,4.63177383804184e-63
IL8,4.05223517267984e-67,-0.892562593701117,0.256,0.423,1.00957387092146e-62
EMP3,4.70449233433979e-67,0.328307241141078,0.864,0.724,1.17207722017742e-62
PTPN6,6.25385392940072e-67,0.389305637105732,0.363,0.186,1.55808516797089e-62
PTGES3,1.17453232970927e-66,0.400234164069804,0.301,0.143,2.92622984623768e-62
CAPZB,7.63117507384666e-66,0.371740192909868,0.456,0.259,1.90123095789816e-61
NPC2,8.78925063307914e-66,0.293788037728043,0.826,0.64,2.18975390272534e-61
PPDPF,2.33607097336932e-63,0.398534791319307,0.569,0.367,5.82008722305232e-59
CD36,5.01993835575306e-63,-0.718619986613973,0.156,0.327,1.25066744195232e-58
PSMB9,1.31676628059096e-62,0.36065589674939,0.532,0.332,3.28059151146431e-58
UCP2,3.6092812139553e-61,0.376558974811262,0.355,0.187,8.99216321644824e-57
ARPC3,2.87594111341999e-59,0.263821774100105,0.874,0.719,7.16511968997455e-55
RPL39,4.0407444723142e-59,-0.26510530188367,0.918,0.9,1.00671107783236e-54
NFKBIA,2.03843294300005e-58,-0.484204439848727,0.631,0.693,5.07855183419031e-54
HSBP1,4.27612194766861e-58,0.344871918239538,0.467,0.278,1.06535302204216e-53
MT2A,1.28756360216858e-57,0.410359048125685,0.539,0.345,3.20783595844279e-53
STXBP2,2.2618766766195e-57,0.334139623759673,0.603,0.402,5.63523955212981e-53
LYST,3.69952413775976e-57,0.333234767304667,0.457,0.268,9.21699443681466e-53
CHCHD10,3.20833599407581e-56,0.352001884315651,0.325,0.17,7.99324829564046e-52
RNVU1-19,3.40354577477887e-56,-0.741319769724807,0.133,0.294,8.47959394328406e-52
PTPRC,3.46233526737165e-56,0.300608806171605,0.603,0.391,8.62606208512973e-52
HN1,4.76483038330873e-56,0.326775571125406,0.267,0.128,1.18710984169754e-51
PPP1CA,9.36167399911414e-56,0.303705857341058,0.477,0.282,2.3323674601393e-51
WARS,1.08548681441019e-55,0.345365960595676,0.281,0.138,2.70438184942154e-51
LILRB2,1.77995357096099e-55,0.353452054832482,0.252,0.119,4.43457632669222e-51
MYL12B,3.87046337417111e-55,0.3135380333926,0.615,0.413,9.6428724504099e-51
CCDC12,6.48988227162138e-54,0.32178408274002,0.251,0.118,1.61688926915175e-49
UQCRB,2.42000013384568e-53,0.271994290921617,0.861,0.704,6.02918833346313e-49
CMTM6,9.93789433212913e-52,0.314036096595115,0.339,0.181,2.47592699390665e-47
CCL3,1.075744965384e-51,-0.786860429669992,0.25,0.391,2.68011100675769e-47
CIRBP,1.23840608168411e-51,0.306260301867006,0.467,0.287,3.08536491190778e-47
CDC42,2.03635072402541e-51,0.287017571811089,0.759,0.565,5.07336419383689e-47
TNFRSF1B,3.77242812729276e-51,0.323156703661057,0.372,0.209,9.39862743633719e-47
POU2F2,6.4816691801896e-51,0.332113175064705,0.295,0.153,1.61484305955244e-46
SLC25A5,1.54795829156731e-50,0.323102876587273,0.566,0.375,3.85658328761078e-46
PRELID1,3.63822023042283e-50,0.28360974925082,0.705,0.511,9.06426188207543e-46
HLA-E,4.01314615404928e-50,0.289390069945922,0.646,0.458,9.99835232819837e-46
SEPT9,7.36131190613442e-49,0.299350182864902,0.255,0.125,1.83399724829433e-44
CD86,8.10694230468987e-49,0.336265125059166,0.312,0.168,2.01976360579043e-44
IKZF1,1.00047075916727e-48,0.311023798192351,0.291,0.151,2.49257284938933e-44
FTH1P8,1.3302780173e-48,0.30792708806941,0.29,0.15,3.31425465230123e-44
CORO1A,2.83177690054688e-48,0.285656318135714,0.615,0.422,7.05508897002249e-44
PSMA4,4.7522072542205e-48,0.311675284611771,0.421,0.253,1.1839649153165e-43
LILRA5,6.40724531176637e-48,0.287958154750921,0.335,0.183,1.59630109697347e-43
NDUFA4,4.38186805188297e-47,0.258805498634079,0.744,0.553,1.09169860644612e-42
PFN1P1,5.22655078456048e-47,0.329159215872818,0.374,0.218,1.3021428624654e-42
FGD2,9.76900407312899e-47,0.40071347444156,0.312,0.173,2.43384967477936e-42
TSPO,1.90027010078006e-46,-0.338591780084083,0.738,0.759,4.73433292908343e-42
CNIH4,2.18889108031645e-46,0.296149345448603,0.288,0.151,5.45340323750041e-42
HLA-DPB1,7.12529629739284e-46,0.273825277055896,0.737,0.556,1.77519631953245e-41
CEBPB,1.4080391865437e-45,0.274283490712318,0.614,0.423,3.50798882935499e-41
CSK,2.18272888264834e-45,0.276625916276844,0.263,0.135,5.43805073823008e-41
CAPG,1.32693279653606e-44,-0.583827877714512,0.198,0.338,3.30592036928993e-40
ISG15,2.09810631874354e-44,0.275710707360269,0.343,0.196,5.22722208251765e-40
ARPC5,2.66231712056343e-44,0.264267204870839,0.556,0.37,6.63289687417174e-40
FKBP1A,2.75421644030889e-44,0.264988885201141,0.616,0.429,6.86185483938557e-40
TBXAS1,3.08591922441056e-44,0.25061385808922,0.261,0.132,7.68825915569647e-40
C14orf2,1.9731919796836e-43,-0.347772054019154,0.715,0.739,4.91601049818371e-39
GRN,3.40385735072901e-43,-0.502484629333775,0.343,0.471,8.48037020360625e-39
ZNF706,6.53201355171262e-43,0.295656789341154,0.351,0.204,1.62738585627368e-38
ATG3,3.51037158564505e-42,0.293627190562778,0.312,0.175,8.74573976847609e-38
PGK1,1.73998008112304e-41,0.28866105690673,0.416,0.257,4.33498637410995e-37
H2AFZ,2.16963095313113e-41,0.260203164977337,0.499,0.324,5.40541855663091e-37
LIMD2,2.65359472418039e-41,0.252678073969986,0.558,0.372,6.61116589582302e-37
WASF2,4.87973453000959e-41,0.264147997337798,0.293,0.16,1.21573706080659e-36
AP1S2,1.35736928904315e-40,-0.421749941172213,0.519,0.596,3.3817498467221e-36
RHOG,2.19137226447342e-39,0.259872155847028,0.419,0.261,5.45958485970907e-35
C1orf56,5.04281622530521e-39,0.315898277678424,0.414,0.262,1.25636723437254e-34
TPM3,1.28925794962286e-37,0.259137897728783,0.477,0.316,3.21205725569038e-33
UBBP4,1.71570359956954e-37,0.267578855439312,0.261,0.142,4.27450394796755e-33
SNHG5,2.50488833481128e-37,-0.344994112833793,0.671,0.704,6.24067879734882e-33
RBP7,4.4633599620791e-37,-0.634294618670976,0.163,0.285,1.11200150095239e-32
BLVRB,5.12944641724374e-37,-0.534121167117213,0.242,0.363,1.2779502803921e-32
HSPA8,4.2447206180615e-36,0.26507676125797,0.26,0.143,1.05752969478384e-31
SRI,5.68244062180168e-36,0.275782167011683,0.275,0.155,1.41572325651567e-31
CAPZA1,1.62508545011185e-35,0.290599471976102,0.304,0.178,4.04873789040866e-31
CEBPD,8.51300212574977e-34,-0.497390699904854,0.325,0.431,2.1209293496093e-29
POLR2L,1.35240057765393e-33,-0.393857390680548,0.508,0.574,3.36937079916701e-29
MCL1,9.73487358324263e-32,-0.491300685812292,0.34,0.44,2.42534640452907e-27
ZFP36,1.65267343829587e-31,-0.346007409850158,0.627,0.669,4.11747060417032e-27
TBCB,1.70512795151185e-31,0.260872072288604,0.271,0.158,4.24815577839663e-27
MARCKS,7.82004714744298e-31,0.253284657339835,0.273,0.16,1.94828654631394e-26
CCNL1,2.66744505976165e-27,-0.484993671954621,0.285,0.382,6.64567262189019e-23
TXN,3.86577326005696e-27,-0.435327781079926,0.287,0.383,9.63118750010592e-23
APLP2,4.81736927022125e-27,-0.461936357016676,0.281,0.377,1.20019937998292e-22
TALDO1,2.16077386562645e-25,-0.415982972675812,0.366,0.443,5.38335200882174e-21
CKLF,5.01936511657592e-25,-0.437667382450736,0.303,0.392,1.25052462514373e-20
KLF4,2.29826917224535e-24,-0.475334398089515,0.318,0.401,5.72590781573208e-20
HCST,2.79975398759811e-23,-0.370843668390041,0.492,0.545,6.97530708470193e-19
KLF6,3.72030960450381e-23,-0.379388773437618,0.539,0.576,9.26877934866079e-19
NDUFB1,2.10512495979098e-22,-0.364880140002565,0.448,0.503,5.24470832482325e-18
PLP2,3.20523178811152e-22,-0.421638626712681,0.202,0.292,7.98551447690103e-18
LY86,2.11054121382248e-20,-0.400084805329653,0.252,0.336,5.25820238011733e-16
GLIPR2,4.57508820966158e-19,-0.418481785469719,0.183,0.262,1.13983747655509e-14
NUP214,8.39118609471048e-18,-0.399595440855578,0.206,0.284,2.09058010363617e-13
GLRX,1.22759208286648e-15,-0.329701253454826,0.367,0.422,3.05842291525355e-11
MRPL33,5.75652391395272e-15,-0.374369946224488,0.219,0.287,1.43418036792218e-10
AHNAK,1.86478445271904e-14,-0.359805186064852,0.239,0.305,4.64592398550422e-10
TNFSF13B,2.02752726050176e-13,-0.356002007568102,0.261,0.322,5.05138141681409e-09
CTSD,2.33488276921055e-13,-0.348718414661684,0.345,0.394,5.81712693121115e-09
HMGB2,2.51345000722638e-13,-0.367224673757995,0.188,0.251,6.2620093480038e-09
JUND,6.87527854744286e-13,-0.358244548230416,0.367,0.41,1.71290689730991e-08
HLA-DMA,1.19182512006569e-12,-0.311480215300926,0.337,0.387,2.96931310413166e-08
ZFP36L2,1.12253978582751e-11,-0.347468485431274,0.258,0.31,2.79669562241066e-07
AC016739.2,4.82612243033975e-11,-0.279962514866115,0.422,0.456,1.20238014229484e-06
AMICA1,1.63219210180388e-10,-0.326121434147256,0.226,0.278,4.0664434024342e-06
AGTRAP,1.72183610262767e-10,-0.339952294483576,0.207,0.259,4.28978246608659e-06
SERPINB1,2.68145881613543e-10,-0.305157521690953,0.243,0.295,6.68058649451981e-06
LINC00936,9.21271449960992e-10,-0.306715353763061,0.392,0.421,2.29525569043282e-05
PCBP2,1.35609503018288e-09,-0.296384819426829,0.301,0.345,3.37857515819762e-05
LAMTOR1,1.15933787946867e-08,-0.304289586278808,0.279,0.316,0.000288837439290825
RP11-325F22.4,1.60423049873317e-08,-0.310547107901609,0.224,0.269,0.000399677986454382
CPVL,1.13243107068592e-07,-0.26826627228935,0.303,0.339,0.00282133876950691
ZFP36L1,7.55430414249354e-07,-0.297805753632411,0.273,0.305,0.0188207933406084
RGS2,3.21677326502832e-06,-0.308905915467248,0.432,0.436,0.0801426891249155
LY96,5.87410270710912e-05,-0.273056197926557,0.256,0.277,1
